"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2019/01/01 19:00:00","NORTH","689","0"
"2019/01/01 19:00:00","WEST","1876","0"
"2019/01/01 20:00:00","CAPITL","1394","1"
"2019/01/01 20:00:00","CENTRL","1854","1"
"2019/01/01 20:00:00","DUNWOD","670","1"
"2019/01/01 20:00:00","GENESE","1135","1"
"2019/01/01 20:00:00","HUD VL","1134","1"
"2019/01/01 20:00:00","LONGIL","2461","1"
"2019/01/01 20:00:00","MHK VL","813","1"
"2019/01/01 20:00:00","MILLWD","330","1"
"2019/01/01 20:00:00","N.Y.C.","5412","1"
"2019/01/01 20:00:00","NORTH","686","1"
"2019/01/01 20:00:00","WEST","1845","1"
"2019/01/01 21:00:00","CAPITL","1327","2"
"2019/01/01 21:00:00","CENTRL","1783","2"
"2019/01/01 21:00:00","DUNWOD","644","2"
"2019/01/01 21:00:00","GENESE","1089","2"
"2019/01/01 21:00:00","HUD VL","1086","2"
"2019/01/01 21:00:00","LONGIL","2350","2"
"2019/01/01 21:00:00","MHK VL","769","2"
"2019/01/01 21:00:00","MILLWD","315","2"
"2019/01/01 21:00:00","N.Y.C.","5289","2"
"2019/01/01 21:00:00","NORTH","677","2"
"2019/01/01 21:00:00","WEST","1788","2"
"2019/01/01 22:00:00","CAPITL","1245","3"
"2019/01/01 22:00:00","CENTRL","1698","3"
"2019/01/01 22:00:00","DUNWOD","601","3"
"2019/01/01 22:00:00","GENESE","1031","3"
"2019/01/01 22:00:00","HUD VL","1015","3"
"2019/01/01 22:00:00","LONGIL","2178","3"
"2019/01/01 22:00:00","MHK VL","721","3"
"2019/01/01 22:00:00","MILLWD","293","3"
"2019/01/01 22:00:00","N.Y.C.","5088","3"
"2019/01/01 22:00:00","NORTH","661","3"
"2019/01/01 22:00:00","WEST","1710","3"
"2019/01/01 23:00:00","CAPITL","1178","4"
"2019/01/01 23:00:00","CENTRL","1631","4"
"2019/01/01 23:00:00","DUNWOD","559","4"
"2019/01/01 23:00:00","GENESE","982","4"
"2019/01/01 23:00:00","HUD VL","947","4"
"2019/01/01 23:00:00","LONGIL","1995","4"
"2019/01/01 23:00:00","MHK VL","692","4"
"2019/01/01 23:00:00","MILLWD","274","4"
"2019/01/01 23:00:00","N.Y.C.","4853","4"
"2019/01/01 23:00:00","NORTH","650","4"
"2019/01/01 23:00:00","WEST","1635","4"
"2019/01/02 00:00:00","CAPITL","1202","5"
"2019/01/02 00:00:00","CENTRL","1687","5"
"2019/01/02 00:00:00","DUNWOD","532","5"
"2019/01/02 00:00:00","GENESE","1017","5"
"2019/01/02 00:00:00","HUD VL","943","5"
"2019/01/02 00:00:00","LONGIL","1914","5"
"2019/01/02 00:00:00","MHK VL","728","5"
"2019/01/02 00:00:00","MILLWD","273","5"
"2019/01/02 00:00:00","N.Y.C.","4889","5"
"2019/01/02 00:00:00","NORTH","648","5"
"2019/01/02 00:00:00","WEST","1640","5"
"2019/01/02 01:00:00","CAPITL","1180","6"
"2019/01/02 01:00:00","CENTRL","1660","6"
"2019/01/02 01:00:00","DUNWOD","508","6"
"2019/01/02 01:00:00","GENESE","996","6"
"2019/01/02 01:00:00","HUD VL","913","6"
"2019/01/02 01:00:00","LONGIL","1828","6"
"2019/01/02 01:00:00","MHK VL","717","6"
"2019/01/02 01:00:00","MILLWD","261","6"
"2019/01/02 01:00:00","N.Y.C.","4682","6"
"2019/01/02 01:00:00","NORTH","642","6"
"2019/01/02 01:00:00","WEST","1611","6"
"2019/01/02 02:00:00","CAPITL","1170","7"
"2019/01/02 02:00:00","CENTRL","1639","7"
"2019/01/02 02:00:00","DUNWOD","493","7"
"2019/01/02 02:00:00","GENESE","982","7"
"2019/01/02 02:00:00","HUD VL","897","7"
"2019/01/02 02:00:00","LONGIL","1775","7"
"2019/01/02 02:00:00","MHK VL","711","7"
"2019/01/02 02:00:00","MILLWD","256","7"
"2019/01/02 02:00:00","N.Y.C.","4535","7"
"2019/01/02 02:00:00","NORTH","639","7"
"2019/01/02 02:00:00","WEST","1591","7"
"2019/01/02 03:00:00","CAPITL","1172","8"
"2019/01/02 03:00:00","CENTRL","1634","8"
"2019/01/02 03:00:00","DUNWOD","487","8"
"2019/01/02 03:00:00","GENESE","981","8"
"2019/01/02 03:00:00","HUD VL","892","8"
"2019/01/02 03:00:00","LONGIL","1758","8"
"2019/01/02 03:00:00","MHK VL","712","8"
"2019/01/02 03:00:00","MILLWD","254","8"
"2019/01/02 03:00:00","N.Y.C.","4466","8"
"2019/01/02 03:00:00","NORTH","641","8"
"2019/01/02 03:00:00","WEST","1586","8"
"2019/01/02 04:00:00","CAPITL","1196","9"
"2019/01/02 04:00:00","CENTRL","1664","9"
"2019/01/02 04:00:00","DUNWOD","495","9"
"2019/01/02 04:00:00","GENESE","1000","9"
"2019/01/02 04:00:00","HUD VL","904","9"
"2019/01/02 04:00:00","LONGIL","1788","9"
"2019/01/02 04:00:00","MHK VL","730","9"
"2019/01/02 04:00:00","MILLWD","258","9"
"2019/01/02 04:00:00","N.Y.C.","4488","9"
"2019/01/02 04:00:00","NORTH","648","9"
"2019/01/02 04:00:00","WEST","1602","9"
"2019/01/02 05:00:00","CAPITL","1264","10"
"2019/01/02 05:00:00","CENTRL","1755","10"
"2019/01/02 05:00:00","DUNWOD","527","10"
"2019/01/02 05:00:00","GENESE","1055","10"
"2019/01/02 05:00:00","HUD VL","950","10"
"2019/01/02 05:00:00","LONGIL","1894","10"
"2019/01/02 05:00:00","MHK VL","783","10"
"2019/01/02 05:00:00","MILLWD","276","10"
"2019/01/02 05:00:00","N.Y.C.","4700","10"
"2019/01/02 05:00:00","NORTH","666","10"
"2019/01/02 05:00:00","WEST","1661","10"
"2019/01/02 06:00:00","CAPITL","1389","11"
"2019/01/02 06:00:00","CENTRL","1907","11"
"2019/01/02 06:00:00","DUNWOD","596","11"
"2019/01/02 06:00:00","GENESE","1146","11"
"2019/01/02 06:00:00","HUD VL","1034","11"
"2019/01/02 06:00:00","LONGIL","2092","11"
"2019/01/02 06:00:00","MHK VL","864","11"
"2019/01/02 06:00:00","MILLWD","308","11"
"2019/01/02 06:00:00","N.Y.C.","5161","11"
"2019/01/02 06:00:00","NORTH","695","11"
"2019/01/02 06:00:00","WEST","1774","11"
"2019/01/02 07:00:00","CAPITL","1469","12"
"2019/01/02 07:00:00","CENTRL","2005","12"
"2019/01/02 07:00:00","DUNWOD","653","12"
"2019/01/02 07:00:00","GENESE","1208","12"
"2019/01/02 07:00:00","HUD VL","1093","12"
"2019/01/02 07:00:00","LONGIL","2221","12"
"2019/01/02 07:00:00","MHK VL","914","12"
"2019/01/02 07:00:00","MILLWD","330","12"
"2019/01/02 07:00:00","N.Y.C.","5631","12"
"2019/01/02 07:00:00","NORTH","710","12"
"2019/01/02 07:00:00","WEST","1862","12"
"2019/01/02 08:00:00","CAPITL","1480","13"
"2019/01/02 08:00:00","CENTRL","2019","13"
"2019/01/02 08:00:00","DUNWOD","668","13"
"2019/01/02 08:00:00","GENESE","1218","13"
"2019/01/02 08:00:00","HUD VL","1117","13"
"2019/01/02 08:00:00","LONGIL","2256","13"
"2019/01/02 08:00:00","MHK VL","925","13"
"2019/01/02 08:00:00","MILLWD","337","13"
"2019/01/02 08:00:00","N.Y.C.","5962","13"
"2019/01/02 08:00:00","NORTH","711","13"
"2019/01/02 08:00:00","WEST","1875","13"
"2019/01/02 09:00:00","CAPITL","1481","14"
"2019/01/02 09:00:00","CENTRL","2036","14"
"2019/01/02 09:00:00","DUNWOD","680","14"
"2019/01/02 09:00:00","GENESE","1233","14"
"2019/01/02 09:00:00","HUD VL","1133","14"
"2019/01/02 09:00:00","LONGIL","2278","14"
"2019/01/02 09:00:00","MHK VL","930","14"
"2019/01/02 09:00:00","MILLWD","341","14"
"2019/01/02 09:00:00","N.Y.C.","6191","14"
"2019/01/02 09:00:00","NORTH","710","14"
"2019/01/02 09:00:00","WEST","1893","14"
"2019/01/02 10:00:00","CAPITL","1481","15"
"2019/01/02 10:00:00","CENTRL","2046","15"
"2019/01/02 10:00:00","DUNWOD","691","15"
"2019/01/02 10:00:00","GENESE","1245","15"
"2019/01/02 10:00:00","HUD VL","1142","15"
"2019/01/02 10:00:00","LONGIL","2293","15"
"2019/01/02 10:00:00","MHK VL","931","15"
"2019/01/02 10:00:00","MILLWD","343","15"
"2019/01/02 10:00:00","N.Y.C.","6311","15"
"2019/01/02 10:00:00","NORTH","707","15"
"2019/01/02 10:00:00","WEST","1905","15"
"2019/01/02 11:00:00","CAPITL","1471","16"
"2019/01/02 11:00:00","CENTRL","2035","16"
"2019/01/02 11:00:00","DUNWOD","691","16"
"2019/01/02 11:00:00","GENESE","1242","16"
"2019/01/02 11:00:00","HUD VL","1141","16"
"2019/01/02 11:00:00","LONGIL","2305","16"
"2019/01/02 11:00:00","MHK VL","921","16"
"2019/01/02 11:00:00","MILLWD","343","16"
"2019/01/02 11:00:00","N.Y.C.","6371","16"
"2019/01/02 11:00:00","NORTH","704","16"
"2019/01/02 11:00:00","WEST","1902","16"
"2019/01/02 12:00:00","CAPITL","1450","17"
"2019/01/02 12:00:00","CENTRL","2013","17"
"2019/01/02 12:00:00","DUNWOD","689","17"
"2019/01/02 12:00:00","GENESE","1231","17"
"2019/01/02 12:00:00","HUD VL","1129","17"
"2019/01/02 12:00:00","LONGIL","2282","17"
"2019/01/02 12:00:00","MHK VL","906","17"
"2019/01/02 12:00:00","MILLWD","341","17"
"2019/01/02 12:00:00","N.Y.C.","6391","17"
"2019/01/02 12:00:00","NORTH","698","17"
"2019/01/02 12:00:00","WEST","1882","17"
"2019/01/02 13:00:00","CAPITL","1435","18"
"2019/01/02 13:00:00","CENTRL","1995","18"
"2019/01/02 13:00:00","DUNWOD","685","18"
"2019/01/02 13:00:00","GENESE","1226","18"
"2019/01/02 13:00:00","HUD VL","1124","18"
"2019/01/02 13:00:00","LONGIL","2268","18"
"2019/01/02 13:00:00","MHK VL","895","18"
"2019/01/02 13:00:00","MILLWD","340","18"
"2019/01/02 13:00:00","N.Y.C.","6394","18"
"2019/01/02 13:00:00","NORTH","691","18"
"2019/01/02 13:00:00","WEST","1875","18"
"2019/01/02 14:00:00","CAPITL","1425","19"
"2019/01/02 14:00:00","CENTRL","1974","19"
"2019/01/02 14:00:00","DUNWOD","681","19"
"2019/01/02 14:00:00","GENESE","1218","19"
"2019/01/02 14:00:00","HUD VL","1123","19"
"2019/01/02 14:00:00","LONGIL","2276","19"
"2019/01/02 14:00:00","MHK VL","883","19"
"2019/01/02 14:00:00","MILLWD","339","19"
"2019/01/02 14:00:00","N.Y.C.","6376","19"
"2019/01/02 14:00:00","NORTH","688","19"
"2019/01/02 14:00:00","WEST","1860","19"
"2019/01/02 15:00:00","CAPITL","1441","20"
"2019/01/02 15:00:00","CENTRL","1968","20"
"2019/01/02 15:00:00","DUNWOD","687","20"
"2019/01/02 15:00:00","GENESE","1215","20"
"2019/01/02 15:00:00","HUD VL","1135","20"
"2019/01/02 15:00:00","LONGIL","2325","20"
"2019/01/02 15:00:00","MHK VL","883","20"
"2019/01/02 15:00:00","MILLWD","343","20"
"2019/01/02 15:00:00","N.Y.C.","6398","20"
"2019/01/02 15:00:00","NORTH","690","20"
"2019/01/02 15:00:00","WEST","1848","20"
"2019/01/02 16:00:00","CAPITL","1529","21"
"2019/01/02 16:00:00","CENTRL","2037","21"
"2019/01/02 16:00:00","DUNWOD","729","21"
"2019/01/02 16:00:00","GENESE","1253","21"
"2019/01/02 16:00:00","HUD VL","1203","21"
"2019/01/02 16:00:00","LONGIL","2520","21"
"2019/01/02 16:00:00","MHK VL","927","21"
"2019/01/02 16:00:00","MILLWD","367","21"
"2019/01/02 16:00:00","N.Y.C.","6547","21"
"2019/01/02 16:00:00","NORTH","705","21"
"2019/01/02 16:00:00","WEST","1887","21"
"2019/01/02 17:00:00","CAPITL","1649","22"
"2019/01/02 17:00:00","CENTRL","2167","22"
"2019/01/02 17:00:00","DUNWOD","791","22"
"2019/01/02 17:00:00","GENESE","1340","22"
"2019/01/02 17:00:00","HUD VL","1307","22"
"2019/01/02 17:00:00","LONGIL","2801","22"
"2019/01/02 17:00:00","MHK VL","987","22"
"2019/01/02 17:00:00","MILLWD","400","22"
"2019/01/02 17:00:00","N.Y.C.","6759","22"
"2019/01/02 17:00:00","NORTH","725","22"
"2019/01/02 17:00:00","WEST","2001","22"
"2019/01/02 18:00:00","CAPITL","1650","23"
"2019/01/02 18:00:00","CENTRL","2176","23"
"2019/01/02 18:00:00","DUNWOD","798","23"
"2019/01/02 18:00:00","GENESE","1338","23"
"2019/01/02 18:00:00","HUD VL","1318","23"
"2019/01/02 18:00:00","LONGIL","2837","23"
"2019/01/02 18:00:00","MHK VL","996","23"
"2019/01/02 18:00:00","MILLWD","410","23"
"2019/01/02 18:00:00","N.Y.C.","6643","23"
"2019/01/02 18:00:00","NORTH","727","23"
"2019/01/02 18:00:00","WEST","2012","23"
"2019/01/02 19:00:00","CAPITL","1615","0"
"2019/01/02 19:00:00","CENTRL","2145","0"
"2019/01/02 19:00:00","DUNWOD","784","0"
"2019/01/02 19:00:00","GENESE","1310","0"
"2019/01/02 19:00:00","HUD VL","1300","0"
"2019/01/02 19:00:00","LONGIL","2790","0"
"2019/01/02 19:00:00","MHK VL","978","0"
"2019/01/02 19:00:00","MILLWD","404","0"
"2019/01/02 19:00:00","N.Y.C.","6489","0"
"2019/01/02 19:00:00","NORTH","722","0"
"2019/01/02 19:00:00","WEST","1987","0"
"2019/01/02 20:00:00","CAPITL","1566","1"
"2019/01/02 20:00:00","CENTRL","2090","1"
"2019/01/02 20:00:00","DUNWOD","758","1"
"2019/01/02 20:00:00","GENESE","1276","1"
"2019/01/02 20:00:00","HUD VL","1268","1"
"2019/01/02 20:00:00","LONGIL","2704","1"
"2019/01/02 20:00:00","MHK VL","947","1"
"2019/01/02 20:00:00","MILLWD","391","1"
"2019/01/02 20:00:00","N.Y.C.","6302","1"
"2019/01/02 20:00:00","NORTH","713","1"
