,Season,DayType,load_class,hour,load,sdh_total_load,p_total_load
174,November,Weekday,401,1,2.0781818181818186,3802.774909090909,0.000546490883069024
175,November,Saturday,401,1,2.3325000000000005,3371.3680000000004,0.0006918556502879544
176,November,Sunday,401,1,2.25,3229.642,0.0006966716434824665
177,December,Weekday,401,1,2.9672727272727273,3701.4058181818186,0.0008016610101753966
178,December,Saturday,401,1,3.022,3410.9649999999997,0.0008859662881325373
179,December,Sunday,401,1,3.1075000000000004,3255.9925000000003,0.0009543940902812276
180,January,Weekday,701,1,8.667619047619045,4205.975476190477,0.0020607868725543927
181,January,Saturday,701,1,9.174,3717.102,0.0024680517241657614
182,January,Sunday,701,1,8.99,3461.8579999999993,0.0025968713910275933
183,February,Weekday,701,1,8.648499999999999,4192.294,0.0020629516918422228
184,February,Saturday,701,1,8.897499999999999,3781.853,0.0023526826664071816
185,February,Sunday,701,1,8.825000000000001,3536.9165000000003,0.0024951112077426767
186,March,Weekday,701,1,7.899130434782609,4061.4103478260877,0.0019449230090750867
187,March,Saturday,701,1,8.225000000000001,3690.661,0.002228598074978981
188,March,Sunday,701,1,8.145,3425.4330000000004,0.0023778015801214033
189,April,Weekday,701,1,7.050000000000001,4056.580095238096,0.0017379171209452502
190,April,Saturday,701,1,7.308,3558.652,0.0020535865827847172
191,April,Sunday,701,1,7.4125,3349.986,0.002212695814251164
192,May,Weekday,701,1,6.7731818181818175,4111.65,0.0016473147807283739
193,May,Saturday,701,1,6.970000000000001,3818.648,0.0018252533357355797
194,May,Sunday,701,1,6.961999999999999,3416.2130000000006,0.002037929133809864
195,June,Weekday,701,1,7.707272727272727,4488.624181818182,0.0017170679511312498
196,June,Saturday,701,1,7.6674999999999995,4026.102,0.001904447527658266
197,June,Sunday,701,1,7.825,3710.4145000000003,0.0021089288002728536
198,July,Weekday,701,1,8.368095238095238,4526.849095238095,0.0018485474249401962
199,July,Saturday,701,1,8.553999999999998,4120.606,0.0020759082523298753
200,July,Sunday,701,1,8.564,3906.5400000000004,0.002192221249494437
201,August,Weekday,701,1,7.9173913043478255,4426.559434782608,0.0017886106401588742
202,August,Saturday,701,1,7.77,4213.6050000000005,0.0018440266707486816
203,August,Sunday,701,1,7.7075,3906.7625000000007,0.0019728611606157267
204,September,Weekday,701,1,6.723181818181818,4163.980090909092,0.0016146046982453257
205,September,Saturday,701,1,6.8925,3955.9659999999994,0.0017423051664245852
206,September,Sunday,701,1,6.8774999999999995,3575.4619999999995,0.0019235276448190473
207,October,Weekday,701,1,6.660000000000001,3935.3936666666673,0.0016923338715542308
208,October,Saturday,701,1,7.0120000000000005,3566.9369999999994,0.0019658323093455256
209,October,Sunday,701,1,7.0120000000000005,3290.7490000000003,0.00213082188887697
210,November,Weekday,701,1,6.8963636363636365,3802.774909090909,0.0018135082410155798
211,November,Saturday,701,1,7.285,3371.3680000000004,0.002160843906687137
212,November,Sunday,701,1,7.1625000000000005,3229.642,0.002217738065085852
213,December,Weekday,701,1,8.327272727272728,3701.4058181818186,0.0022497594525755617
214,December,Saturday,701,1,8.532,3410.9649999999997,0.002501344927315291
215,December,Sunday,701,1,8.2725,3255.9925000000003,0.0025406999555435093
216,January,Weekday,801,1,186.4009523809524,4205.975476190477,0.04431812630295774
217,January,Saturday,801,1,174.172,3717.102,0.04685693316998027
218,January,Sunday,801,1,168.126,3461.8579999999993,0.04856525022112405
219,February,Weekday,801,1,189.4935,4192.294,0.04520043203076884
220,February,Saturday,801,1,178.21,3781.853,0.04712240269518673
221,February,Sunday,801,1,169.53,3536.9165000000003,0.04793158108199614
222,March,Weekday,801,1,179.7104347826087,4061.4103478260877,0.04424828308195959
223,March,Saturday,801,1,168.5675,3690.661,0.045674067599272866
224,March,Sunday,801,1,159.755,3425.4330000000004,0.04663789950058868
225,April,Weekday,801,1,171.98095238095237,4056.580095238096,0.0423955520027414
226,April,Saturday,801,1,157.67399999999998,3558.652,0.04430722644417043
227,April,Sunday,801,1,151.23749999999998,3349.986,0.04514571105670292
